Source,Sector,Link,Search Keywords?,News/Media Link,words for scraping relevant links,Comments
OSHA Europe,Regulation,https://osha.europa.eu/en/emerging-risks,N,https://osha.europa.eu/en/publications,publications,pdf or PPT version. Cannot scrap from document
Work Safe ACT,Regulation,https://www.worksafe.act.gov.au/,,"https://www.worksafe.act.gov.au/about-worksafe-act/news-and-media
https://www.worksafe.act.gov.au/health-and-safety-portal/safety-alerts",news-and-media/safety-alerts,
WorkSafe NZ,Regulation,https://www.worksafe.govt.nz/,,https://www.worksafe.govt.nz/about-us/news-and-media/,news-and-media,
Researchgate,Research,https://www.researchgate.net/ ,,,,no updates since Dec 2022
Centre for Workplace Excellence,Research Centre,https://www.unisa.edu.au/research/cwex/,Y,,,
International Labour ,Union ,https://www.labourstart.org/news/country.php?country=Australia&langcode=en ,,https://www.labourstart.org/news/country.php?country=Australia&langcode=en,news,
OHS Alert ,WHS association,https://www.ohsalert.com.au/,,,,
Safety at Work Blog,WHS association,https://safetyatworkblog.com/,,https://safetyatworkblog.com/,safetyatworkblog.com,need subcription
NSCA Foundation,WHS association,https://www.nscafoundation.org.au/,N,https://www.nscafoundation.org.au/news/,news-item,
AIHS - Australian Institute of Health and Safety,WHS association,https://www.aihs.org.au/news-and-publications/news,N,https://www.aihs.org.au/Web/Web/Advocacy-Media/AIHS-Latest-News.aspx?hkey=89685a20-3770-49e0-b158-cca5a5d40186,All-News,
Safety in Action,WHS association,https://www.safetyaction.com.au/blog,N,https://www.safetyaction.com.au/blog,blog,
WHS matters,WHS association,https://whsmatters.com.au/blog/,N,https://whsmatters.com.au/category/whs/,whsmatters.com.au,no updates since 2022
Action OHS,WHS association,https://www.actionohs.com.au/ohs-newsletters/,N,https://www.actionohs.com.au/ohs-newsletters/,www.actionohs.com.au,
Transport Workers Union,Worker association,https://www.twu.com.au/,N,https://www.twu.com.au/press/,press,
Australian Workers Union,Worker association,https://www.awu.net.au/,N,https://awu.net.au/news/,news,
AMWU - manufacturing,Worker association,https://www.amwu.org.au/,N,https://www.amwu.org.au/media_releases,www.amwu.org.au,no updates since 2023 Nov
Australian Services Union,Worker association,http://www.asu.asn.au/,N,http://www.asu.asn.au/news,news,
NSW Nurses and Midwives Association,Worker association,https://www.nswnma.asn.au/,Y,https://www.nswnma.asn.au/?s=Work+health+and+safety&ct_bot_detector_event_token=37d73b457afa197f0698cef707fd85329ec8ee6cfbc3eb88356758dbe715651d,www.nswnma.asn.au,
Nurses and Midwives,Worker association,https://www.nmsupport.org.au/,N,https://www.nmsupport.org.au/news,news,
Health Services Union,Worker association,https://www.hsu.asn.au/,N,https://www.hsu.asn.au/stay-informed/all,stay-informed,
Teachers Federation,Worker association,https://www.nswtf.org.au/,N,https://www.nswtf.org.au/news/,news,
Unions NSW,Worker association,https://www.unionsnsw.org.au/,N,https://unionsnsw.org.au/our-work/media/,media-release,
CFMMEU - Construction Forestry Maritime Mining and Energy Union,Worker association,https://www.cfmmeu.org.au/,N,https://www.cfmmeu.org.au/news-centre,news,some are newspaper(jpg)
UK IOSH,WHS Association,https://www.ioshmagazine.com/,N,https://www.ioshmagazine.com/categories/article-types/news,www.ioshmagazine.com,
UK IOSH,WHS Association,https://iosh.com/,N,https://iosh.com/news-and-opinion,news-and-opinion,
Agriculture = weekly times now,Industry news,https://www.weeklytimesnow.com.au/,Y,https://www.weeklytimesnow.com.au/search-results?q=work+health+and+safety,,need subcription
